Order,Frequency,Vpc,Vs,Is,Ib1,Ib2,Vline
       69,9072.72,0.00301483,6.43474e-006,0.00173721,0.00257341,0.00407953,0.00301351
       70,9206.14,1.68674,5.62912e-006,0.972769,1.4347,2.26929,1.68674
       71,9339.56,0.00376849,6.2495e-006,0.00217685,0.00322157,0.005098,0.00376727
       72,9472.98,0.000678479,6.16308e-006,0.00039868,0.000600061,0.000949988,0.000676921
       73,9606.4,8.48203e-005,6.08404e-006,3.88971e-005,1.90751e-005,5.69748e-005,8.05487e-005
       74,9739.83,0.000808706,5.99481e-006,0.000426718,0.000592946,0.000941119,0.000808794
       75,9873.25,0.00389863,5.91603e-006,0.00208522,0.00298107,0.00469912,0.00389892
       76,10006.7,1.82445,7.269e-006,0.977198,1.40804,2.21289,1.82445
       77,10140.1,0.00494091,5.76089e-006,0.00264795,0.00377453,0.0059655,0.00494123
       78,10273.5,0.000992935,5.68351e-006,0.000536359,0.000708432,0.00116836,0.000993514
       79,10406.9,0.00018034,5.65871e-006,0.000105439,2.91406e-005,0.000128461,0.000183772
       80,10540.4,0.000609461,5.53983e-006,0.000301354,0.000653218,0.000790461,0.000611411
       81,10673.8,0.00331822,5.4735e-006,0.00166883,0.00330054,0.00426761,0.00331951
       82,10807.2,1.37139,7.06305e-006,0.69107,1.34631,1.75899,1.37139
       83,10940.6,0.00429211,5.34144e-006,0.00216288,0.00425199,0.00551551,0.00429337
       84,11074,0.00078277,5.27312e-006,0.000395564,0.000810856,0.0010084,0.000784654
       85,11207.5,0.000195795,5.22776e-006,8.50036e-005,5.75018e-005,4.20395e-005,0.000200725
       86,11340.9,0.000938578,5.14806e-006,0.000443591,0.000634734,0.00101133,0.000939935
       87,11474.3,0.00441795,5.08691e-006,0.00211044,0.00329177,0.00499449,0.00441884
       88,11607.7,1.55993,4.85066e-006,0.745801,1.17735,1.7733,1.55993
       89,11741.2,0.00573897,4.97129e-006,0.00274617,0.00431304,0.00652031,0.00573981
       90,11874.6,0.00108965,4.91679e-006,0.000526034,0.000807397,0.00124245,0.00109079
       91,12008,0.000142411,4.82313e-006,7.11807e-005,4.32494e-005,0.000111839,0.00014703
       92,12141.4,0.000921413,4.80829e-006,0.000414944,0.000687714,0.000965453,0.000922121
       93,12274.8,0.00460267,4.7518e-006,0.00209825,0.00349154,0.00497363,0.00460301
       94,12408.3,1.44005,2.85794e-006,0.657536,1.09876,1.56654,1.44005
       95,12541.7,0.00613717,4.64927e-006,0.00280183,0.00463426,0.00662394,0.00613748
       96,12675.1,0.00122549,4.60678e-006,0.000560857,0.00085529,0.00125407,0.00122587
       97,12808.5,0.00021771,4.52297e-006,0.000104384,1.96421e-005,0.000118879,0.000218666
       98,12942,0.000592382,4.51367e-006,0.000256702,0.000776552,0.000958536,0.000592545
       99,13075.4,0.00346159,4.46732e-006,0.0015172,0.00387805,0.00493677,0.00346158
      100,13208.8,0.991632,4.4076e-006,0.434648,1.08212,1.38505,0.991631
      101,13342.2,0.00468795,4.37829e-006,0.00205999,0.00522766,0.00666273,0.00468793
      102,13475.7,0.000752172,4.33729e-006,0.00033943,0.000977526,0.00121231,0.00075208
      103,13609.1,0.000193069,4.31671e-006,6.48894e-005,6.04525e-005,3.71801e-005,0.000192493
      104,13742.5,0.00125536,4.2558e-006,0.00050322,0.000784702,0.00114552,0.00125516
      105,13875.9,0.00569503,4.22057e-006,0.00231023,0.00398639,0.00562924,0.00569487
      106,14009.3,1.40064,5.87744e-006,0.569071,0.99869,1.4023,1.40064
      107,14142.8,0.00774747,4.14443e-006,0.00314737,0.00547045,0.00771068,0.00774732
      108,14276.2,0.00151739,4.09934e-006,0.00061757,0.00101981,0.0014699,0.00151711
      109,14409.6,0.00023913,4.1083e-006,9.90087e-005,6.8112e-005,0.000153887,0.000237434
      110,14543,0.000872638,4.02462e-006,0.0003435,0.000796109,0.000987652,0.000871887
      111,14676.5,0.00472889,3.99223e-006,0.00187703,0.0040498,0.00519818,0.00472845
      112,14809.9,1.07705,5.34936e-006,0.427859,0.915604,1.18113,1.07705
      113,14943.3,0.00664527,3.92401e-006,0.00264036,0.00564348,0.00726393,0.00664485
      114,15076.7,0.00125132,3.8835e-006,0.00049891,0.00103415,0.00131843,0.00125062
      115,15210.1,0.00021042,3.85188e-006,8.15091e-005,4.16997e-005,6.76779e-005,0.000207081
      116,15343.6,0.000935279,3.81438e-006,0.000350827,0.000877807,0.00117423,0.000934138
      117,15477,0.00469066,3.77768e-006,0.00178021,0.00437429,0.00577979,0.00468993
      118,15610.4,0.963052,3.11382e-006,0.365704,0.894431,1.17936,0.96305
      119,15743.8,0.00661887,3.71234e-006,0.00251741,0.00618562,0.00816641,0.00661817
      120,15877.3,0.00116337,3.68678e-006,0.000449226,0.00113629,0.00151163,0.00116231
      121,16010.7,0.000237703,3.61138e-006,8.00548e-005,6.15375e-005,0.000119908,0.000234426
      122,16144.1,0.00135975,3.62605e-006,0.000474237,0.000920053,0.00117511,0.00135903
      123,16277.5,0.00626275,3.59005e-006,0.00221596,0.00460112,0.00590755,0.00626228
      124,16410.9,1.15126,1.94829e-006,0.408218,0.85798,1.10184,1.15126
      125,16544.4,0.00896807,3.52911e-006,0.00317825,0.00661999,0.00851037,0.00896763
      126,16677.8,0.00175102,3.51205e-006,0.000620275,0.00122113,0.00158535,0.00175051
      127,16811.2,0.000305345,3.46126e-006,0.000107976,8.79228e-005,0.000156243,0.000304103
      128,16944.6,0.000866964,3.46051e-006,0.000300233,0.000917673,0.00111521,0.000866767
      129,17078.1,0.00487227,3.4355e-006,0.0016962,0.00463724,0.00571586,0.00487227
      130,17211.5,0.848186,4.01765e-006,0.295246,0.793626,0.981186,0.848188
      131,17344.9,0.00717772,3.38456e-006,0.00250159,0.00678627,0.00836648,0.00717775
      132,17478.3,0.00122835,3.35874e-006,0.000433285,0.00123726,0.00149511,0.00122851
      133,17611.7,0.000131267,3.36726e-006,3.96235e-005,7.42494e-005,3.46277e-005,0.000134089
      134,17745.2,0.0013704,3.31178e-006,0.000449851,0.000971138,0.0013259,0.00137101
      135,17878.6,0.00637116,3.29643e-006,0.00211064,0.0048441,0.00644365,0.00637164
      136,18012,0.989641,5.07108e-006,0.328172,0.761695,1.00818,0.989642
      137,18145.4,0.00941924,3.25488e-006,0.00312451,0.00719651,0.00956216,0.00941972
      138,18278.9,0.00178763,3.21841e-006,0.000595523,0.00130388,0.00177801,0.00178833
      139,18412.3,0.000341129,3.23542e-006,0.000113194,7.05714e-005,0.000183756,0.000343796
      140,18545.7,0.00118126,3.17134e-006,0.000368294,0.00103504,0.0011774,0.00118235
      141,18679.1,0.00590868,3.15231e-006,0.00187172,0.00512732,0.00606578,0.00590935
      142,18812.5,0.858624,4.19489e-006,0.272507,0.743867,0.885184,0.858623
      143,18946,0.0089527,3.11133e-006,0.00284099,0.00774348,0.00919129,0.00895333
      144,19079.4,0.00166359,3.08351e-006,0.000528931,0.00140916,0.00165215,0.00166446
      145,19212.8,0.000297924,3.04955e-006,9.04598e-005,0.000102857,0.000110963,0.000300666
      146,19346.2,0.00119245,3.03827e-006,0.000358796,0.00104229,0.0013201,0.00119321
      147,19479.7,0.00589423,3.0095e-006,0.00179553,0.0052119,0.00648707,0.00589464
      148,19613.1,0.795966,1.92078e-006,0.242715,0.701992,0.871887,0.795968
      149,19746.5,0.00902576,2.9639e-006,0.00275401,0.00801067,0.00994997,0.00902614
      150,19879.9,0.0015495,2.957e-006,0.000476484,0.00145021,0.0017956,0.00155
      151,20013.3,0.00013065,2.8921e-006,3.39076e-005,0.000106584,0.000132322,0.000133116
      152,20146.8,0.00161027,2.91924e-006,0.000470499,0.00106678,0.00136991,0.00161037
      153,20280.2,0.00746133,2.89263e-006,0.00219728,0.00531861,0.00675983,0.00746135
      154,20413.6,0.921369,1.83102e-006,0.27164,0.666358,0.844854,0.92137
      155,20547,0.0116137,2.85009e-006,0.00342317,0.00830696,0.0105602,0.0116137
      156,20680.5,0.00224216,2.84687e-006,0.000660969,0.00148954,0.00193277,0.00224213
      157,20813.9,0.000442539,2.82077e-006,0.000131698,9.32509e-005,0.000202311,0.000442166
      158,20947.3,0.000912096,2.81647e-006,0.000262458,0.00113255,0.0012666,0.000911627
      159,21080.7,0.00531218,2.80481e-006,0.00153838,0.00558469,0.00645301,0.00531188
